LOINC:11011-4	11011-4
LOINC:13457-7	13457-7
LOINC:14804-9	14804-9
LOINC:16128-1	16128-1
LOINC:16933-4	16933-4
LOINC:16935-9	16935-9
LOINC:1742-6	1742-6
LOINC:1751-7	1751-7
LOINC:1751-7	1751-7
LOINC:17855-8	17855-8
LOINC:17861-6	17861-6
LOINC:18263-4	18263-4
LOINC:1920-8	1920-8
LOINC:1959-6	1959-6
LOINC:1975-2	1975-2
LOINC:1988-5	1988-5
LOINC:2028-9	2028-9
LOINC:20507-0	20507-0
LOINC:20570-8	20570-8
LOINC:2069-3	2069-3
LOINC:2075-0	2075-0
LOINC:2085-9	2085-9
LOINC:2089-1	2089-1
LOINC:2089-1	2089-1
LOINC:2093-3	2093-3
LOINC:21000-5	21000-5
LOINC:2160-0	2160-0
LOINC:22322-2	22322-2
LOINC:2324-2	2324-2
LOINC:2339-0	2339-0
LOINC:2339-0	2339-0
LOINC:2339-0	2339-0
LOINC:2345-7	2345-7
LOINC:24012-7	24012-7
LOINC:2532-0	2532-0
LOINC:2571-8	2571-8
LOINC:2638-5	2638-5
LOINC:26450-7	26450-7
LOINC:26485-3	26485-3
LOINC:26499-4	26499-4
LOINC:2777-1	2777-1
LOINC:2823-3	2823-3
LOINC:28539-5	28539-5
LOINC:28540-3	28540-3
LOINC:2862-1	2862-1
LOINC:2885-2	2885-2
LOINC:2885-2	2885-2
LOINC:2947-0	2947-0
LOINC:2947-0	2947-0
LOINC:2951-2	2951-2
LOINC:30180-4	30180-4
LOINC:30428-7	30428-7
LOINC:30522-7	30522-7
LOINC:3084-1	3084-1
LOINC:3094-0	3094-0
LOINC:31146-4	31146-4
LOINC:31147-2	31147-2
LOINC:31204-1	31204-1
LOINC:38483-4	38483-4
LOINC:39017-9	39017-9
LOINC:42719-5	42719-5
LOINC:43396-1	43396-1
LOINC:45323-3	45323-3
LOINC:4537-7	4537-7
LOINC:4544-3	4544-3
LOINC:4544-3	4544-3
LOINC:4548-4	4548-4
LOINC:46217-6	46217-6
LOINC:49765-1	49765-1
LOINC:5195-3	5195-3
LOINC:5199-5	5199-5
LOINC:5221-7	5221-7
LOINC:5289-4	5289-4
LOINC:5290-2	5290-2
LOINC:5905-5	5905-5
LOINC:6298-4	6298-4
LOINC:6298-4	6298-4
LOINC:6690-2	6690-2
LOINC:6690-2	6690-2
LOINC:6768-6	6768-6
LOINC:68961-2	68961-2
LOINC:704-7	704-7
LOINC:705-4	705-4
LOINC:706-2	706-2
LOINC:707-0	707-0
LOINC:711-2	711-2
LOINC:711-2	711-2
LOINC:712-0	712-0
LOINC:713-8	713-8
LOINC:714-6	714-6
LOINC:71773-6	71773-6
LOINC:718-7	718-7
LOINC:718-7	718-7
LOINC:718-7	718-7
LOINC:718-7	718-7
LOINC:731-0	731-0
LOINC:731-0	731-0
LOINC:732-8	732-8
LOINC:736-9	736-9
LOINC:736-9	736-9
LOINC:737-7	737-7
LOINC:742-7	742-7
LOINC:743-5	743-5
LOINC:744-3	744-3
LOINC:751-8	751-8
LOINC:753-4	753-4
LOINC:777-3	777-3
LOINC:777-3	777-3
LOINC:778-1	778-1
LOINC:785-6	785-6
LOINC:786-4	786-4
LOINC:787-2	787-2
LOINC:789-8	789-8
LOINC:804-5	804-5
LOINC:9836-8	9836-8
